"Keys","Description","en_US","ru_RU","zh_CN"
"key_yes",,"yes","да","是"
"key_no",,"no","нет","否"
"wsg_bestscore",,"best score","лучший результат","最好成绩"
"wab_caption,,"about","об игре","关于游戏"
"wab_1",,"developed by Patriot Game","Игра студии Patriot Game","游戏由Patriot Game工作室创建"
"wab_2",,"Producer Eduard Minin","Продюсер Эдуард Минин","制作人Edward Minin"
"wab_3",,"Programmer Dmitry Zakharov","Программирование Дмитрий Захаров","程序编辑Dmitry Zakharov"
"wab_4",,"Graphics and design Alexander Dedov","Графика и дизайн Александр Дедов","制图和设Alexander Dedov"
"wab_5",,"Music Gennady Shichkin","Музыка Геннадий Шичкин","音乐Gennady Shichkin"
"wss_caption",,"game settings","настройки игры","设置"
"wss_volm",,"music volume","громкость музыки","音乐声量"
"wss_vols",,"sound volume","громкость звуков","声音声量"
"wss_langcap",,"language selection","выбор языка","语言"
"wss_langset",,"english","русский","中文"
"wgo_caption",,"game over","игра окончена","游戏结束"
"wgo_support",,"cheer up, you're getting better!","но не переживай, ты с каждым разом всё лучше и лучше!","但别担心，你每次都会好起来的！"
"wgo_restart",,"try again","попробовать ещё раз","再次试试"
"wgo_ads",,"view ads and continue","посмотреть рекламу и продолжить","看过广告后继续"
"wgo_exit",,"flee like a coward","сбежать как трус","像胆小鬼一样逃跑"
"wgo_res_1",,"too many enemies","слишком много врагов!","超过多了敌人"
"wgo_res_2",,"time's up!","время вышло!","时间过了"
"wgo_res_3",,"No more energy!","Закончилась энергия!","能量结束了！"
"wgo_res_4",,"result: ","результат: ","成绩: "
"wh_caption",,"help","как играть","玩法"
"wh_1",,"limit a shape with lines","ограничить линиями фигуру.","将线条限制在形状上。"
"wh_2",,"limited shape explodes and adds energy","ограниченная фигура взрывается и добавляет энергию.","线条限制的形状爆炸并增加能量"
"wh_3",,"at this level, the number of shapes flying at the same time is limited. If you exceed the limit, you will lose.","количество одновременно летающих фигур на уровне ограниченно. При превышении этого количества - проигрыш.","在每级上同时飞行形状的数量是有限的。如果超过这个数量，这是一个损失。"
"wh_4",,"energy to draw lines is running out.","энергия для рисования линий заканчивается.","以画线的能量快要结束。"
"wh_5",,"number and lifetime of lines are limited","количество и время существования линий ограничено.","线条的数量与寿命是限制的"
"wg_sgl",,"level ","уровень ","级 "
"waс_caption",,"achievements","достижения","成绩"
"weg_caption",,"do you want to flee","хотите сбежать","想跳跑"
"weg_quest",,"leave the battlefield?","покинуть поле боя?","离开军所"
"weg_quest1",,"if you do this, your progress at the current level will be lost, and the empire will call you a coward!","если вы сделаете это, то ваш текущий прогресс на уровне не будет сохранён, а империя будет называть вас трусом!","如果你这样做，那么你目前在等级上的进展将不会被拯救，而帝国会称你为胆小鬼！"
"aсh_0",,"Play for 10 minutes","Провести в игре 10 минут","玩过10分钟"
"aсh_1",,"Play for 1 hour","Провести в игре 1 час","玩过1个小时"
